2018/01/29,8:05:34,sa11111111,,,プログラム,20180129,39.110.207.182,
2018/01/29,10:22:47,29093502,,,プログラム,20180129,119.240.115.151,
2018/01/29,10:43:56,28915001,,,プログラム,20180129,126.43.240.183,
2018/01/29,11:05:52,10101010,,,プログラム,20180129,39.110.207.182,
2018/01/29,13:07:30,38792801,,,プログラム,20180129,49.111.123.224,
2018/01/29,15:12:50,09931201,,,プログラム,20180129,223.218.204.15,
2018/01/29,16:52:06,10101010,,,プログラム,20180129,39.110.207.182,
2018/01/29,17:24:44,42604401,,,プログラム,20180129,131.129.186.90,
2018/01/29,17:43:47,08204101,,,プログラム,20180129,133.200.4.192,
2018/01/30,15:58:54,40593301,,,プログラム,20180129,153.164.180.90,
2018/01/30,16:00:31,10101010,,,プログラム,20180129,211.2.63.249,
2018/01/30,17:55:30,1940-7301,,,プログラム,20180129,221.185.10.163,
2018/01/30,17:55:45,1940-7301,,,プログラム,20180129,221.185.10.163,
2018/01/30,18:31:47,36460001,,,プログラム,20180129,218.185.167.84,
2018/01/30,18:35:51,36460001,,,プログラム,20180129,218.185.167.84,
2018/01/31,10:17:44,35130001,,,プログラム,20180129,106.161.244.122,
2018/01/31,11:29:39,13186001,,,プログラム,20180129,133.163.14.104,
2018/01/31,11:30:56,13186001,,,プログラム,20180129,133.163.14.104,
2018/01/31,12:40:13,33463701,,,プログラム,20180129,180.45.205.143,
2018/01/31,16:45:15,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,16:46:52,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,16:53:06,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,16:58:59,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,16:59:14,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,16:59:14,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,18:23:22,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,18:32:18,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,18:47:22,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,19:19:39,34633601,,,プログラム,20180129,153.181.120.169,
2018/01/31,21:56:43,33045201,,,プログラム,20180129,210.130.243.63,
2018/02/01,10:36:00,27297601,,,プログラム,20180129,220.58.34.21,
2018/02/01,10:38:10,27297601,,,プログラム,20180129,220.58.34.21,
2018/02/01,10:49:16,42745401,,,プログラム,20180129,58.98.240.240,
2018/02/01,10:52:55,42745401,,,プログラム,20180129,58.98.240.240,
2018/02/01,11:21:18,10101010,,,プログラム,20180129,39.110.207.182,
2018/02/01,11:23:22,10101010,,,プログラム,20180129,39.110.207.182,
2018/02/01,13:16:06,31987201,,,プログラム,20180129,153.184.51.178,
2018/02/01,13:21:18,31987201,,,プログラム,20180129,153.184.51.178,
2018/02/01,13:31:56,31987201,,,プログラム,20180129,153.184.51.178,
2018/02/01,15:06:30,10101010,,,プログラム,20180129,124.110.164.105,
2018/02/01,15:50:01,12160001,,,プログラム,20180129,116.82.19.141,
2018/02/01,20:36:29,36781001,,,プログラム,20180129,218.226.68.197,
2018/02/02,9:18:10,10101010,,,プログラム,20180129,122.223.181.9,
2018/02/02,11:41:47,12160001,,,プログラム,20180129,114.186.241.243,
2018/02/02,11:44:45,12160001,,,プログラム,20180129,114.186.241.243,
2018/02/02,16:12:14,SA08254701,,,プログラム,20180129,115.30.207.107,
2018/02/02,17:07:48,42534701,,,プログラム,20180129,60.34.39.227,
2018/02/02,17:08:28,42534701,,,プログラム,20180129,60.34.39.227,
2018/02/02,19:35:39,SA17544001,,,プログラム,20180129,157.101.155.155,
2018/02/02,23:16:58,25247501,,,プログラム,20180129,14.13.195.96,
2018/02/04,16:31:47,04320501,,,プログラム,20180129,116.65.145.150,
2018/02/04,16:40:13,04320501,,,プログラム,20180129,116.65.145.150,
2018/02/04,20:06:20,40421701,,,プログラム,20180129,153.186.48.40,
2018/02/05,9:45:43,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,9:47:54,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,9:56:30,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,10:07:51,15577301,,,プログラム,20180129,14.11.36.224,
2018/02/05,10:08:17,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,10:17:09,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,12:31:23,19918901,,,プログラム,20180129,118.86.58.83,
2018/02/05,12:32:59,19918901,,,プログラム,20180129,118.86.58.83,
2018/02/05,12:38:10,10101010,,,プログラム,20180129,116.91.96.122,
2018/02/05,13:04:52,,,,プログラム,20180129,116.91.96.122,
2018/02/05,18:39:26,13186001,,,プログラム,20180129,133.163.14.103,
2018/02/06,7:40:17,,06085901,,プログラム,20180129,124.146.110.142,
2018/02/06,9:03:29,15577301,,,プログラム,20180129,14.11.36.224,
2018/02/07,11:01:32,SA06198601,,,プログラム,20180129,223.217.83.125,
2018/02/07,12:20:10,10101010,,,プログラム,20180129,39.110.207.182,
2018/02/07,14:16:10,29093502,,,プログラム,20180129,119.240.115.151,
2018/02/07,19:34:48,10101010,,,プログラム,20180129,124.110.164.105,
2018/02/08,10:22:28,10101010,,,プログラム,20180129,126.202.153.58,
2018/02/09,9:03:34,13186001,,,プログラム,20180129,133.163.14.104,
2018/02/10,14:30:47,10700401,,,プログラム,20180129,58.3.207.113,
2018/02/10,14:47:36,10700401,,,プログラム,20180129,58.3.207.113,
2018/02/11,11:05:08,13186001,,,プログラム,20180129,133.163.14.105,
